label_i,label_j,s_balanced,p_j_given_i,p_i_given_j
anxiety_crisis,no_crisis,0.5957883923985619,0.4962121212121212,0.09957627118644068
no_crisis,risk_taking_behaviours,0.4088983050847458,0.05296610169491525,0.3559322033898305
risk_taking_behaviours,suicidal_ideation,0.2664966266249794,0.2033898305084746,0.06310679611650485
suicidal_ideation,violent_thoughts,0.24985722444317532,0.014563106796116505,0.23529411764705882
risk_taking_behaviours,substance_abuse_or_withdrawal,0.22325496628394387,0.1694915254237288,0.053763440860215055
no_crisis,violent_thoughts,0.12213359920239283,0.03389830508474576,0.08823529411764706
no_crisis,self-harm,0.11589767733835529,0.023305084745762712,0.09259259259259259
self-harm,suicidal_ideation,0.11201006832074792,0.09259259259259259,0.019417475728155338
no_crisis,substance_abuse_or_withdrawal,0.10736741388737014,0.01059322033898305,0.0967741935483871
no_crisis,suicidal_ideation,0.09577093960835939,0.0423728813559322,0.05339805825242718
anxiety_crisis,suicidal_ideation,0.09175492791997646,0.01893939393939394,0.07281553398058252
risk_taking_behaviours,violent_thoughts,0.06779661016949153,0.06779661016949153,0.0
risk_taking_behaviours,self-harm,0.06167608286252354,0.03389830508474576,0.027777777777777776
anxiety_crisis,risk_taking_behaviours,0.049049820236260915,0.015151515151515152,0.03389830508474576
self-harm,violent_thoughts,0.029411764705882353,0.0,0.029411764705882353
anxiety_crisis,substance_abuse_or_withdrawal,0.01893939393939394,0.01893939393939394,0.0
anxiety_crisis,self-harm,0.018518518518518517,0.0,0.018518518518518517
self-harm,substance_abuse_or_withdrawal,0.018518518518518517,0.018518518518518517,0.0
anxiety_crisis,violent_thoughts,0.007575757575757576,0.007575757575757576,0.0
substance_abuse_or_withdrawal,suicidal_ideation,0.0048543689320388345,0.0,0.0048543689320388345
substance_abuse_or_withdrawal,violent_thoughts,0.0,0.0,0.0
