label_i,label_j,s_balanced,p_j_given_i,p_i_given_j
no_crisis,risk_taking_behaviours,0.5236892460773058,0.002321724709784411,0.5213675213675214
anxiety_crisis,no_crisis,0.5155208298551983,0.424310216256525,0.0912106135986733
no_crisis,violent_thoughts,0.24777347828757448,0.004975124378109453,0.24279835390946503
risk_taking_behaviours,suicidal_ideation,0.2344118844118844,0.2336182336182336,0.0007936507936507937
risk_taking_behaviours,substance_abuse_or_withdrawal,0.12535612535612536,0.12535612535612536,0.0
no_crisis,suicidal_ideation,0.12260127931769724,0.038474295190713104,0.08412698412698413
anxiety_crisis,suicidal_ideation,0.10795781399808246,0.09843400447427293,0.009523809523809525
no_crisis,self-harm,0.1053380440791213,0.011940298507462687,0.09339774557165861
risk_taking_behaviours,self-harm,0.09500805152979065,0.07407407407407407,0.020933977455716585
self-harm,suicidal_ideation,0.09450195537152059,0.05958132045088567,0.03492063492063492
suicidal_ideation,violent_thoughts,0.09168136390358614,0.013492063492063493,0.07818930041152264
risk_taking_behaviours,violent_thoughts,0.04938271604938271,0.0,0.04938271604938271
no_crisis,substance_abuse_or_withdrawal,0.047506059446357954,0.011608623548922056,0.035897435897435895
self-harm,violent_thoughts,0.0411522633744856,0.0,0.0411522633744856
anxiety_crisis,substance_abuse_or_withdrawal,0.037170882808466706,0.002982848620432513,0.03418803418803419
self-harm,substance_abuse_or_withdrawal,0.028985507246376812,0.028985507246376812,0.0
substance_abuse_or_withdrawal,suicidal_ideation,0.017765567765567765,0.015384615384615385,0.002380952380952381
anxiety_crisis,risk_taking_behaviours,0.014245014245014245,0.0,0.014245014245014245
anxiety_crisis,violent_thoughts,0.005965697240865026,0.005965697240865026,0.0
anxiety_crisis,self-harm,0.0044742729306487695,0.0044742729306487695,0.0
substance_abuse_or_withdrawal,violent_thoughts,0.00411522633744856,0.0,0.00411522633744856
